Asset_ID,Asset_Name,Asset_Type,Hypervisor_Version,vCenter_Managed,IP_Address_v4,Environment,Business_Unit,Criticality,Patch_Compliance_Status,Last_Patch_Date,PAM_Onboarded,Password_Mgmt,Auth_Framework_Integration,Snapshot_Policy_Compliance,Backup_Status,Network_Zone,Critical_Vulnerability_Count,High_Vulnerability_Count,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Record_Owner,Last_Updated
VM-0400,VM-PROD-000,Virtual Machine,ESXi 7.0.1,Yes,10.79.177.17,Production,Engineering,Critical,Compliant,2026-07-30,Pending,Not Configured,Integrated,Non-Compliant,Overdue,Internal,1,15,Exception Approved,Medium,DBA Team,HIPAA,Network Ops,2026-08-07
VM-0401,VM-UAT-001,Virtual Machine,ESXi 7.0.1,Yes,10.51.29.189,Development,Finance,Critical,Failed,2026-07-03,Not Onboarded,Automatic,Not Integrated,Non-Compliant,Failed,Internal,0,11,Exception Approved,Medium,Network Ops,SOX,Platform Ops,2026-08-09
VM-0402,VM-PROD-002,Virtual Machine,ESXi 8.0.0,Yes,10.46.70.63,Development,Operations,High,Compliant,2026-07-12,Pending,Manual,Integrated,Compliant,Failed,DMZ,10,18,Partially Compliant,Critical,SOC,HIPAA,Network Ops,2026-08-04
VM-0403,VM-DR-003,Virtual Machine,ESXi 7.0.1,Yes,10.143.228.53,Development,HR,Low,Overdue,2026-07-31,Pending,Automatic,Integrated,Exception,Successful,Restricted,10,3,Exception Approved,Low,DBA Team,HIPAA,Platform Ops,2026-08-14
VM-0404,VM-UAT-004,Virtual Machine,ESXi 8.0.0,Yes,10.20.49.40,Development,Marketing,Critical,Failed,2026-06-10,Onboarded,Automatic,Not Integrated,Non-Compliant,Failed,DMZ,5,5,Compliant,Medium,DBA Team,NIST 800-53,Network Ops,2026-08-11
VM-0405,VM-UAT-005,Virtual Machine,ESXi 7.0.3,No,10.124.127.99,Production,Legal,Critical,Overdue,2026-07-10,Exempted,Not Configured,Integrated,Non-Compliant,Overdue,Internal,10,8,Compliant,Critical,Platform Ops,HIPAA,Network Ops,2026-08-12
VM-0406,VM-UAT-006,Virtual Machine,ESXi 7.0.2,No,10.108.149.219,Development,Legal,High,Overdue,2026-07-13,Onboarded,Manual,Integrated,Non-Compliant,Overdue,DMZ,6,12,Compliant,Low,SOC,ISO 27001,SOC,2026-08-02
ESX-0407,ESXI-UAT-007,ESXi Host,ESXi 7.0.1,Yes,10.53.79.158,Development,HR,Medium,Exception,2026-07-14,Pending,Automatic,Not Integrated,Non-Compliant,Successful,Internal,7,9,Exception Approved,Medium,Network Ops,NIST 800-53,SOC,2026-08-18
VM-0408,VM-UAT-008,Virtual Machine,ESXi 8.0.3,Yes,10.78.17.196,QA,HR,Medium,Compliant,2026-06-16,Onboarded,Automatic,Not Integrated,Compliant,Successful,Management,4,17,Compliant,Medium,Network Ops,SOX,SOC,2026-08-18
ESX-0409,ESXI-UAT-009,ESXi Host,ESXi 8.0.0,Yes,10.63.74.215,QA,HR,Low,Compliant,2026-07-06,Onboarded,Manual,Integrated,Compliant,Overdue,Restricted,9,17,Compliant,High,IAM Team,ISO 27001,Platform Ops,2026-08-05
