App_ID,App_Name,Business_Owner,Technical_Owner,Environment,Criticality,Internet_Exposed,Hosting_Model,PAM_Onboarded,Password_Mgmt,Auth_Framework_Integration,SSO_Enabled,MFA_Enforced,JIT_Integration,SAST_Status,SCA_Status,Hardcoded_Secret_Count,Regulatory_Framework,Compliance_Status,Risk_Rating,Remediation_Owner,Last_Updated
APP-100,App-ITSM-00,Engineering,IAM Team,DR,Low,No,Hybrid,Not Onboarded,Not Configured,Integrated,Yes,No,Not Integrated,Covered,Covered,2,HIPAA,Compliant,Low,Platform Ops,2026-07-29
APP-101,App-ERP-01,Operations,AppSec,Production,High,No,SaaS,Not Onboarded,Automatic,Partial,No,Yes,Not Integrated,Not Covered,Covered,2,ISO 27001,Non-Compliant,Medium,Platform Ops,2026-08-08
APP-102,App-ITSM-02,Finance,SOC,Production,High,No,PaaS,Onboarded,Not Configured,Integrated,Yes,Yes,Partial,Not Covered,Covered,8,NIST 800-53,Non-Compliant,Low,Network Ops,2026-07-31
APP-103,App-Billing-03,Operations,Platform Ops,Production,Low,No,PaaS,Pending,Not Configured,Integrated,Yes,Yes,Partial,Covered,Covered,2,SOX,Not Assessed,High,Platform Ops,2026-08-26
APP-104,App-Vault-04,Engineering,IAM Team,Production,Critical,No,PaaS,Exempted,Automatic,Exempted,Yes,Partial,Integrated,Covered,Covered,0,PCI DSS,Partially Compliant,Medium,DBA Team,2026-08-09
APP-105,App-SIEM-05,Legal,DBA Team,DR,Medium,No,IaaS,Pending,Automatic,Integrated,No,Yes,Integrated,Covered,Covered,8,NIST 800-53,Compliant,Medium,Network Ops,2026-08-06
APP-106,App-Payroll-06,Marketing,DBA Team,UAT,Medium,Yes,Hybrid,Onboarded,Automatic,Not Integrated,No,Yes,Not Applicable,Partial,Partial,0,NIST 800-53,Compliant,Low,SOC,2026-08-20
APP-107,App-CRM-07,Engineering,Network Ops,UAT,High,Yes,On-Premises,Onboarded,Automatic,Integrated,No,No,Partial,Not Covered,Covered,1,ISO 27001,Compliant,Medium,IAM Team,2026-08-04
APP-108,App-CRM-08,Engineering,Platform Ops,QA,Critical,No,PaaS,Onboarded,Automatic,Integrated,No,No,Integrated,Covered,Not Covered,2,NIST 800-53,Exception Approved,Medium,SOC,2026-08-01
APP-109,App-Billing-09,Finance,Network Ops,Development,Critical,No,Hybrid,Not Onboarded,Not Configured,Integrated,Yes,Yes,Integrated,Covered,Covered,3,SOX,Compliant,High,AppSec,2026-08-20
APP-110,App-Payroll-10,Finance,Network Ops,Production,High,No,On-Premises,Not Onboarded,Manual,Integrated,No,Yes,Integrated,Covered,Not Covered,5,SOX,Partially Compliant,High,IAM Team,2026-08-10
APP-111,App-SIEM-11,Legal,DBA Team,UAT,Medium,No,On-Premises,Onboarded,Manual,Not Integrated,No,Yes,Partial,Covered,Covered,6,ISO 27001,Compliant,High,Platform Ops,2026-08-02
APP-112,App-ERP-12,Engineering,IAM Team,UAT,Low,No,IaaS,Onboarded,Automatic,Not Integrated,No,Partial,Integrated,Not Covered,Covered,8,SOX,Partially Compliant,Medium,DBA Team,2026-08-03
APP-113,App-ITSM-13,Legal,SOC,QA,Critical,No,On-Premises,Onboarded,Manual,Integrated,Yes,No,Not Integrated,Covered,Not Covered,5,SOX,Compliant,Medium,Platform Ops,2026-08-09
APP-114,App-Payroll-14,Marketing,AppSec,Production,Medium,No,PaaS,Onboarded,Manual,Not Integrated,Yes,Yes,Not Integrated,Covered,Covered,6,PCI DSS,Non-Compliant,High,Platform Ops,2026-08-06
APP-115,App-Payroll-15,Marketing,Platform Ops,DR,Low,Yes,Hybrid,Onboarded,Manual,Integrated,No,No,Not Integrated,Covered,Not Covered,7,NIST 800-53,Compliant,Medium,AppSec,2026-07-28
APP-116,App-ITSM-16,Marketing,DBA Team,Production,Low,No,IaaS,Pending,Automatic,Integrated,Yes,Yes,Not Integrated,Partial,Covered,1,ISO 27001,Compliant,Medium,Platform Ops,2026-08-09
APP-117,App-Payroll-17,Operations,AppSec,QA,Critical,No,IaaS,Not Onboarded,Automatic,Integrated,Yes,Partial,Not Applicable,Covered,Covered,0,SOX,Compliant,Medium,DevOps,2026-08-03
APP-118,App-Billing-18,Security,SOC,DR,High,Yes,Hybrid,Onboarded,Manual,Integrated,Yes,Yes,Partial,Covered,Covered,7,HIPAA,Non-Compliant,Low,DevOps,2026-08-23
APP-119,App-Vault-19,Marketing,SOC,Production,Critical,No,Hybrid,Onboarded,Automatic,Not Integrated,No,Yes,Not Applicable,Partial,Covered,4,SOX,Compliant,Medium,SOC,2026-08-21
APP-120,App-ERP-20,HR,AppSec,QA,Low,No,On-Premises,Onboarded,Automatic,Not Integrated,No,No,Integrated,Not Covered,Not Covered,6,NIST 800-53,Compliant,Low,IAM Team,2026-08-10
APP-121,App-Billing-21,Finance,DBA Team,QA,Medium,No,IaaS,Not Onboarded,Automatic,Integrated,No,Yes,Integrated,Covered,Not Covered,1,HIPAA,Compliant,High,SOC,2026-08-02
APP-122,App-Vault-22,HR,DBA Team,QA,Medium,No,On-Premises,Onboarded,Automatic,Partial,No,Yes,Integrated,Not Covered,Covered,8,ISO 27001,Compliant,Medium,Platform Ops,2026-08-20
APP-123,App-SIEM-23,Finance,DevOps,Production,Low,Yes,PaaS,Onboarded,Automatic,Partial,Yes,Yes,Not Integrated,Covered,Covered,4,PCI DSS,Compliant,Medium,IAM Team,2026-07-31
