Asset_ID,Device_Name,Device_Type,Manufacturer,Firmware_Version,Management_IP,Environment,Business_Unit,Criticality,Insecure_Protocol_Status,AAA_Integration_Status,PAM_Onboarded,Password_Mgmt,Auth_Framework_Integration,Config_Backup_Status,Configuration_Compliance,Internet_Exposed,Network_Zone,Critical_Vulnerability_Count,High_Vulnerability_Count,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Record_Owner,Last_Updated
NET-0300,NET-FW-EDGE-00,Router,Juniper,15.0.0,10.1.20.168,Development,Engineering,Medium,None,Exempted,Not Onboarded,Automatic,Integrated,Overdue,Exception,No,Edge,8,13,Compliant,Medium,AppSec,HIPAA,AppSec,2026-08-21
NET-0301,NET-FW-EDGE-01,IDS/IPS,Fortinet,15.7.5,10.9.1.147,QA,Marketing,Low,HTTP Exposed,Exempted,Onboarded,Automatic,Integrated,Successful,Compliant,Yes,Edge,4,12,Exception Approved,Low,DBA Team,PCI DSS,DBA Team,2026-08-13
NET-0302,NET-FW-CORE-02,Switch,Juniper,13.9.9,10.6.8.237,Production,Finance,Medium,Telnet Exposed,Integrated,Onboarded,Automatic,Integrated,Successful,Exception,No,Management,7,15,Compliant,High,AppSec,ISO 27001,IAM Team,2026-08-14
NET-0303,NET-RTR-CORE-03,WAF,Aruba,9.1.5,10.9.9.137,Development,Legal,High,None,Not Integrated,Onboarded,Exempted,Integrated,Successful,Compliant,No,Management,8,4,Compliant,Critical,Network Ops,ISO 27001,AppSec,2026-08-12
NET-0304,NET-RTR-EDGE-04,Wireless Controller,Palo Alto,14.4.2,10.7.3.38,Production,Operations,Critical,None,Integrated,Exempted,Manual,Integrated,Successful,Compliant,No,Management,8,1,Compliant,Medium,DBA Team,PCI DSS,AppSec,2026-08-18
NET-0305,NET-SWC-EDGE-05,Firewall,Cisco,16.3.8,10.6.9.93,UAT,Finance,Critical,SNMPv1,Integrated,Exempted,Manual,Integrated,Successful,Non-Compliant,No,Core,1,4,Not Assessed,High,DevOps,HIPAA,AppSec,2026-08-02
NET-0306,NET-LB-DMZ-06,Switch,Juniper,15.6.3,10.4.10.166,DR,Security,Critical,None,Partial,Onboarded,Manual,Not Integrated,Failed,Exception,No,Core,8,1,Partially Compliant,Critical,DBA Team,HIPAA,Platform Ops,2026-07-31
NET-0307,NET-FW-DMZ-07,Load Balancer,Cisco,14.9.3,10.6.18.129,DR,Engineering,High,None,Partial,Onboarded,Not Configured,Integrated,Failed,Non-Compliant,No,Core,8,2,Non-Compliant,Medium,SOC,ISO 27001,AppSec,2026-08-10
NET-0308,NET-LB-EDGE-08,Firewall,Fortinet,12.4.5,10.5.9.110,Production,Marketing,High,HTTP Exposed,Partial,Pending,Manual,Integrated,Successful,Compliant,No,Core,0,10,Compliant,Medium,Platform Ops,ISO 27001,SOC,2026-08-10
NET-0309,NET-FW-DMZ-09,IDS/IPS,F5,17.9.6,10.10.17.132,DR,Marketing,Medium,None,Exempted,Onboarded,Automatic,Integrated,Successful,Compliant,No,Management,2,8,Compliant,Critical,IAM Team,ISO 27001,Network Ops,2026-08-03
NET-0310,NET-FW-CORE-10,WAF,Palo Alto,11.8.3,10.10.15.42,Development,Operations,Critical,HTTP Exposed,Integrated,Exempted,Automatic,Not Integrated,Successful,Compliant,No,DMZ,3,5,Non-Compliant,Medium,IAM Team,ISO 27001,Network Ops,2026-07-28
NET-0311,NET-SWC-CORE-11,Router,Cisco,8.2.3,10.3.1.5,Production,Legal,High,None,Integrated,Onboarded,Automatic,Integrated,Failed,Compliant,No,Management,6,3,Compliant,Critical,AppSec,PCI DSS,AppSec,2026-08-14
NET-0312,NET-FW-CORE-12,Load Balancer,F5,12.5.3,10.2.19.131,Production,Marketing,High,None,Not Integrated,Not Onboarded,Not Configured,Not Integrated,Successful,Compliant,No,OT,5,3,Compliant,High,DBA Team,NIST 800-53,SOC,2026-07-31
NET-0313,NET-SWC-CORE-13,VPN Gateway,Fortinet,13.9.6,10.8.3.85,Production,Legal,Critical,None,Partial,Not Onboarded,Automatic,Integrated,Successful,Exception,No,Edge,4,2,Non-Compliant,Medium,Platform Ops,SOX,IAM Team,2026-08-01
NET-0314,NET-FW-CORE-14,IDS/IPS,F5,17.4.9,10.8.2.134,Development,Finance,High,Telnet Exposed,Integrated,Onboarded,Automatic,Integrated,Successful,Compliant,No,OT,6,5,Compliant,Medium,IAM Team,ISO 27001,Platform Ops,2026-08-09
NET-0315,NET-VPN-DMZ-15,Switch,Juniper,16.7.9,10.2.12.8,UAT,Marketing,High,None,Integrated,Onboarded,Automatic,Integrated,Successful,Non-Compliant,Yes,Core,1,4,Compliant,Medium,AppSec,HIPAA,DBA Team,2026-08-06
NET-0316,NET-VPN-CORE-16,IDS/IPS,Cisco,12.1.8,10.1.19.95,DR,Finance,Medium,None,Integrated,Onboarded,Exempted,Integrated,Successful,Compliant,Yes,DMZ,7,9,Compliant,High,IAM Team,NIST 800-53,Network Ops,2026-08-05
NET-0317,NET-VPN-CORE-17,WAF,Cisco,17.9.6,10.3.14.69,DR,Operations,Critical,SNMPv1,Integrated,Not Onboarded,Manual,Integrated,Failed,Exception,No,Edge,5,8,Exception Approved,High,Network Ops,SOX,DevOps,2026-08-17
NET-0318,NET-RTR-EDGE-18,IDS/IPS,F5,10.0.9,10.3.5.217,UAT,Security,Medium,Telnet Exposed,Integrated,Onboarded,Manual,Integrated,Successful,Exception,No,Management,4,1,Compliant,High,Platform Ops,SOX,DBA Team,2026-07-30
NET-0319,NET-SWC-DMZ-19,Firewall,F5,17.5.4,10.1.2.23,QA,HR,Medium,SNMPv1,Integrated,Onboarded,Automatic,Integrated,Successful,Compliant,No,Core,6,11,Compliant,Critical,DBA Team,SOX,Network Ops,2026-08-06
NET-0320,NET-RTR-CORE-20,Switch,F5,13.0.9,10.3.15.227,Production,Marketing,Medium,None,Integrated,Not Onboarded,Manual,Integrated,Successful,Exception,No,Management,0,4,Compliant,Critical,IAM Team,HIPAA,Network Ops,2026-08-16
NET-0321,NET-RTR-EDGE-21,WAF,Aruba,9.8.9,10.5.18.183,UAT,Legal,High,HTTP Exposed,Integrated,Not Onboarded,Manual,Integrated,Successful,Compliant,No,Management,5,4,Non-Compliant,High,SOC,NIST 800-53,SOC,2026-07-31
NET-0322,NET-VPN-DMZ-22,Firewall,Juniper,11.4.8,10.2.7.231,Production,Finance,High,None,Integrated,Not Onboarded,Manual,Not Integrated,Successful,Compliant,No,Edge,3,11,Compliant,Medium,DBA Team,PCI DSS,AppSec,2026-07-30
NET-0323,NET-LB-DMZ-23,Router,Juniper,12.8.6,10.1.14.115,DR,HR,High,SNMPv1,Exempted,Pending,Not Configured,Partial,Successful,Compliant,No,Edge,3,12,Exception Approved,Low,DevOps,SOX,SOC,2026-07-28
NET-0324,NET-RTR-EDGE-24,VPN Gateway,Cisco,15.7.4,10.1.13.93,QA,HR,High,None,Exempted,Onboarded,Automatic,Integrated,Failed,Compliant,Yes,Edge,5,3,Compliant,Medium,AppSec,NIST 800-53,DevOps,2026-08-07
NET-0325,NET-SWC-CORE-25,Switch,Cisco,15.8.6,10.2.20.253,Production,Operations,High,None,Exempted,Onboarded,Manual,Integrated,Failed,Compliant,Yes,OT,5,7,Compliant,Low,AppSec,NIST 800-53,DevOps,2026-08-21
NET-0326,NET-RTR-DMZ-26,Firewall,Palo Alto,15.5.9,10.6.2.3,DR,Marketing,High,HTTP Exposed,Partial,Exempted,Automatic,Integrated,Successful,Non-Compliant,Yes,Edge,4,14,Non-Compliant,Medium,IAM Team,HIPAA,AppSec,2026-08-25
NET-0327,NET-LB-CORE-27,Wireless Controller,Aruba,11.2.7,10.10.18.13,UAT,Legal,Medium,Telnet Exposed,Not Integrated,Exempted,Not Configured,Not Integrated,Failed,Compliant,No,Edge,3,9,Partially Compliant,Critical,DevOps,ISO 27001,IAM Team,2026-08-26
NET-0328,NET-SWC-CORE-28,Load Balancer,Juniper,8.8.9,10.5.3.19,Development,Engineering,High,SNMPv1,Exempted,Onboarded,Exempted,Integrated,Successful,Exception,No,Edge,5,7,Exception Approved,Medium,AppSec,PCI DSS,IAM Team,2026-08-15
NET-0329,NET-RTR-CORE-29,IDS/IPS,Juniper,17.9.0,10.1.13.147,QA,Marketing,High,None,Integrated,Onboarded,Automatic,Integrated,Failed,Exception,No,OT,4,4,Non-Compliant,Low,DevOps,PCI DSS,Network Ops,2026-07-30
NET-0330,NET-VPN-DMZ-30,VPN Gateway,Palo Alto,8.0.6,10.8.15.97,DR,Engineering,High,None,Not Integrated,Onboarded,Not Configured,Integrated,Successful,Compliant,No,Management,2,9,Compliant,Medium,Platform Ops,ISO 27001,IAM Team,2026-08-06
NET-0331,NET-VPN-DMZ-31,Firewall,Palo Alto,11.4.5,10.2.3.4,Production,HR,Critical,HTTP Exposed,Integrated,Onboarded,Manual,Integrated,Successful,Non-Compliant,No,Management,8,8,Compliant,High,IAM Team,NIST 800-53,SOC,2026-08-14
NET-0332,NET-SWC-DMZ-32,Router,Fortinet,13.7.5,10.10.18.203,Development,Security,High,Telnet Exposed,Integrated,Onboarded,Automatic,Not Integrated,Failed,Compliant,No,DMZ,3,13,Non-Compliant,Low,DBA Team,NIST 800-53,DevOps,2026-08-22
NET-0333,NET-FW-DMZ-33,Firewall,Cisco,12.7.7,10.1.20.33,Production,Security,Critical,HTTP Exposed,Partial,Onboarded,Automatic,Not Integrated,Successful,Compliant,No,DMZ,1,5,Compliant,Low,Network Ops,NIST 800-53,Network Ops,2026-08-08
NET-0334,NET-RTR-DMZ-34,VPN Gateway,F5,9.6.1,10.2.17.112,DR,HR,High,Telnet Exposed,Integrated,Pending,Manual,Integrated,Failed,Non-Compliant,No,Core,6,1,Non-Compliant,Low,DBA Team,SOX,Platform Ops,2026-08-11
NET-0335,NET-VPN-CORE-35,Switch,F5,14.9.2,10.9.19.123,DR,Marketing,High,None,Partial,Onboarded,Not Configured,Not Integrated,Overdue,Compliant,No,Management,2,0,Compliant,Medium,Network Ops,SOX,Network Ops,2026-08-22
NET-0336,NET-SWC-CORE-36,Firewall,Cisco,12.1.4,10.5.16.253,UAT,Legal,Critical,None,Not Integrated,Not Onboarded,Manual,Integrated,Successful,Exception,No,OT,3,0,Non-Compliant,Medium,DevOps,NIST 800-53,Platform Ops,2026-08-25
