Bot_Account_ID,Bot_Name,Bot_Type,Business_Process,Business_Owner,Technical_Owner,Environment,Account_Status,PAM_Onboarded,Password_Mgmt,Auth_Framework_Integration,Privilege_Scope,Human_Impersonation_Allowed,Interactive_Login_Allowed,Logging_Status,Last_Execution_Date,Last_Privilege_Review,Next_Privilege_Review,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Last_Updated
BOT-3000,bot-rpa-000,Deployment,Process-12,Operations,DevOps,UAT,Active,Exempted,Exempted,Integrated,Administrative,No,No,Enabled,2026-08-06,2026-06-22,2026-11-16,Non-Compliant,Medium,DBA Team,HIPAA,2026-08-19
BOT-3001,bot-cicd-001,Integration,Process-13,Operations,SOC,DR,Disabled,Onboarded,Automatic,Integrated,Privileged,Yes,No,Enabled,2026-07-30,2026-07-12,2026-09-21,Non-Compliant,Low,Platform Ops,SOX,2026-08-26
BOT-3002,bot-cicd-002,Deployment,Process-13,Legal,Network Ops,DR,Active,Onboarded,Automatic,Integrated,Privileged,No,No,Disabled,2026-08-01,2026-08-23,2026-11-13,Compliant,Medium,IAM Team,NIST 800-53,2026-08-02
BOT-3003,bot-rpa-003,CI/CD,Process-8,Marketing,IAM Team,UAT,Active,Pending,Manual,Integrated,Read-Only,No,Yes,Disabled,2026-08-16,2026-08-05,2026-09-22,Compliant,Low,SOC,PCI DSS,2026-08-17
BOT-3004,bot-cicd-004,CI/CD,Process-2,HR,DevOps,UAT,Active,Onboarded,Automatic,Partial,Read-Only,No,Yes,Partial,2026-08-13,2026-07-21,2026-08-28,Exception Approved,Critical,SOC,HIPAA,2026-08-22
BOT-3005,bot-mon-005,CI/CD,Process-13,Legal,DevOps,Production,Active,Onboarded,Exempted,Integrated,Write,No,No,Enabled,2026-07-28,2026-08-05,2026-09-02,Non-Compliant,High,Network Ops,SOX,2026-08-07
BOT-3006,bot-deploy-006,CI/CD,Process-10,HR,DBA Team,UAT,Active,Onboarded,Automatic,Partial,Write,No,No,Disabled,2026-08-24,2026-08-26,2026-09-16,Partially Compliant,High,Platform Ops,HIPAA,2026-08-12
BOT-3007,bot-deploy-007,Deployment,Process-3,Finance,Network Ops,QA,Pending Retirement,Not Onboarded,Automatic,Integrated,Limited Write,No,No,Enabled,2026-08-13,2026-04-25,2026-11-24,Not Assessed,Medium,DevOps,SOX,2026-08-22
BOT-3008,bot-cicd-008,Chat-Ops,Process-14,HR,SOC,Development,Active,Pending,Manual,Partial,Privileged,Yes,No,Enabled,2026-08-02,2026-03-02,2026-09-25,Non-Compliant,High,IAM Team,PCI DSS,2026-07-30
BOT-3009,bot-test-009,Chat-Ops,Process-5,Finance,IAM Team,UAT,Active,Onboarded,Not Configured,Not Integrated,Limited Write,No,Yes,Partial,2026-07-28,2026-05-11,2026-09-28,Compliant,High,DevOps,PCI DSS,2026-08-23
BOT-3010,bot-cicd-010,Chat-Ops,Process-1,Legal,SOC,UAT,Active,Exempted,Automatic,Integrated,Privileged,No,No,Enabled,2026-08-15,2026-07-21,2026-09-07,Compliant,Critical,DBA Team,HIPAA,2026-08-22
BOT-3011,bot-deploy-011,Test Automation,Process-5,Legal,Network Ops,UAT,Active,Not Onboarded,Manual,Integrated,Read-Only,No,No,Partial,2026-08-25,2026-03-25,2026-09-19,Non-Compliant,Critical,DBA Team,HIPAA,2026-08-05
BOT-3012,bot-deploy-012,Integration,Process-9,HR,Network Ops,UAT,Disabled,Exempted,Automatic,Integrated,Read-Only,No,No,Enabled,2026-08-20,2026-05-16,2026-11-15,Compliant,Medium,DBA Team,ISO 27001,2026-08-07
BOT-3013,bot-deploy-013,Chat-Ops,Process-11,Legal,DevOps,QA,Disabled,Pending,Automatic,Not Integrated,Privileged,No,Yes,Enabled,2026-08-07,2026-06-02,2026-08-31,Compliant,High,IAM Team,NIST 800-53,2026-08-20
BOT-3014,bot-mon-014,CI/CD,Process-18,Operations,DevOps,Production,Active,Not Onboarded,Automatic,Integrated,Read-Only,No,No,Enabled,2026-08-16,2026-08-03,2026-10-06,Compliant,Medium,AppSec,HIPAA,2026-08-10
BOT-3015,bot-deploy-015,Test Automation,Process-12,Operations,DevOps,Production,Active,Onboarded,Not Configured,Integrated,Administrative,No,No,Enabled,2026-08-14,2026-04-26,2026-11-11,Exception Approved,Critical,Platform Ops,PCI DSS,2026-08-05
BOT-3016,bot-rpa-016,Test Automation,Process-8,Operations,DBA Team,DR,Disabled,Onboarded,Automatic,Exempted,Administrative,No,No,Enabled,2026-08-02,2026-05-31,2026-10-24,Partially Compliant,High,AppSec,ISO 27001,2026-07-30
BOT-3017,bot-rpa-017,Test Automation,Process-13,Operations,Platform Ops,Development,Active,Exempted,Exempted,Integrated,Privileged,Yes,Yes,Disabled,2026-08-17,2026-04-08,2026-09-08,Compliant,Medium,Platform Ops,SOX,2026-08-21
BOT-3018,bot-test-018,Monitoring,Process-12,Finance,IAM Team,DR,Disabled,Onboarded,Automatic,Exempted,Write,No,No,Partial,2026-08-23,2026-04-03,2026-10-29,Compliant,Low,SOC,HIPAA,2026-07-30
BOT-3019,bot-cicd-019,Chat-Ops,Process-12,HR,DBA Team,Development,Pending Retirement,Not Onboarded,Automatic,Not Integrated,Administrative,No,No,Partial,2026-08-25,2026-03-21,2026-11-18,Compliant,Low,DevOps,ISO 27001,2026-08-26
BOT-3020,bot-rpa-020,Monitoring,Process-13,Operations,Network Ops,QA,Paused,Onboarded,Automatic,Partial,Read-Only,No,No,Enabled,2026-07-31,2026-04-29,2026-09-10,Compliant,Medium,SOC,HIPAA,2026-08-20
BOT-3021,bot-rpa-021,Monitoring,Process-11,HR,SOC,DR,Disabled,Onboarded,Automatic,Integrated,Read-Only,No,No,Enabled,2026-08-20,2026-06-06,2026-11-08,Compliant,Medium,SOC,NIST 800-53,2026-07-28
BOT-3022,bot-deploy-022,Chat-Ops,Process-7,Finance,Platform Ops,Production,Pending Retirement,Pending,Manual,Integrated,Limited Write,Yes,Yes,Enabled,2026-08-17,2026-05-03,2026-10-20,Non-Compliant,Medium,AppSec,PCI DSS,2026-07-31
BOT-3023,bot-deploy-023,Monitoring,Process-10,Operations,Platform Ops,UAT,Pending Retirement,Onboarded,Automatic,Integrated,Limited Write,No,No,Partial,2026-08-08,2026-05-19,2026-08-29,Non-Compliant,Low,Platform Ops,NIST 800-53,2026-08-03
BOT-3024,bot-test-024,CI/CD,Process-11,Legal,DBA Team,UAT,Active,Not Onboarded,Not Configured,Partial,Privileged,No,Yes,Partial,2026-08-13,2026-06-20,2026-11-02,Partially Compliant,Low,DBA Team,PCI DSS,2026-08-06
BOT-3025,bot-test-025,RPA,Process-2,Operations,DevOps,DR,Active,Onboarded,Manual,Integrated,Privileged,No,No,Enabled,2026-08-05,2026-04-01,2026-08-29,Compliant,Medium,AppSec,SOX,2026-08-10
BOT-3026,bot-rpa-026,Test Automation,Process-16,Legal,SOC,QA,Active,Pending,Automatic,Integrated,Administrative,No,No,Partial,2026-08-12,2026-05-09,2026-10-14,Compliant,Medium,Network Ops,HIPAA,2026-08-14
BOT-3027,bot-deploy-027,Test Automation,Process-10,Legal,Network Ops,Production,Pending Retirement,Onboarded,Not Configured,Integrated,Read-Only,No,No,Enabled,2026-08-02,2026-03-20,2026-11-05,Compliant,Medium,Network Ops,NIST 800-53,2026-08-05
BOT-3028,bot-deploy-028,CI/CD,Process-8,Marketing,SOC,Development,Active,Onboarded,Automatic,Integrated,Read-Only,No,No,Enabled,2026-07-28,2026-03-14,2026-10-17,Compliant,Medium,Platform Ops,ISO 27001,2026-08-17
BOT-3029,bot-mon-029,Monitoring,Process-14,Legal,Platform Ops,Production,Paused,Onboarded,Automatic,Integrated,Limited Write,No,No,Enabled,2026-08-03,2026-03-26,2026-10-07,Compliant,Low,SOC,PCI DSS,2026-08-09
BOT-3030,bot-cicd-030,Integration,Process-13,Marketing,IAM Team,Development,Active,Exempted,Exempted,Integrated,Limited Write,No,No,Enabled,2026-08-19,2026-08-01,2026-09-13,Non-Compliant,Medium,DBA Team,HIPAA,2026-07-31
BOT-3031,bot-mon-031,Deployment,Process-18,Operations,AppSec,DR,Active,Not Onboarded,Automatic,Integrated,Administrative,No,No,Enabled,2026-08-24,2026-04-02,2026-10-15,Compliant,Medium,SOC,SOX,2026-08-21
BOT-3032,bot-cicd-032,Monitoring,Process-7,HR,DBA Team,DR,Disabled,Onboarded,Not Configured,Integrated,Write,No,No,Partial,2026-08-06,2026-08-21,2026-11-17,Not Assessed,Low,IAM Team,HIPAA,2026-07-28
BOT-3033,bot-rpa-033,CI/CD,Process-10,Engineering,Platform Ops,Production,Active,Not Onboarded,Not Configured,Partial,Limited Write,No,No,Enabled,2026-08-24,2026-04-24,2026-11-16,Compliant,Medium,SOC,SOX,2026-08-06
BOT-3034,bot-cicd-034,CI/CD,Process-10,Finance,Platform Ops,Development,Active,Pending,Not Configured,Integrated,Write,No,No,Enabled,2026-08-09,2026-08-25,2026-09-17,Non-Compliant,High,IAM Team,PCI DSS,2026-08-07
BOT-3035,bot-rpa-035,Integration,Process-17,Marketing,Platform Ops,DR,Paused,Onboarded,Automatic,Integrated,Write,No,Yes,Disabled,2026-08-22,2026-06-19,2026-10-02,Compliant,Low,AppSec,ISO 27001,2026-08-06
BOT-3036,bot-deploy-036,Chat-Ops,Process-17,Security,Platform Ops,UAT,Active,Onboarded,Manual,Partial,Write,No,Yes,Disabled,2026-08-08,2026-06-08,2026-09-18,Partially Compliant,Low,SOC,HIPAA,2026-07-29
BOT-3037,bot-test-037,Test Automation,Process-9,Marketing,AppSec,Development,Active,Onboarded,Automatic,Integrated,Write,No,No,Enabled,2026-08-21,2026-08-18,2026-11-01,Compliant,Medium,Network Ops,ISO 27001,2026-08-15
BOT-3038,bot-rpa-038,CI/CD,Process-11,Security,DBA Team,DR,Active,Onboarded,Automatic,Not Integrated,Write,No,No,Enabled,2026-08-04,2026-08-24,2026-10-09,Compliant,Medium,AppSec,PCI DSS,2026-08-09
