Agent_ID,Agent_Name,Agent_Type,Agent_Purpose,Business_Owner,Technical_Owner,Model_Provider,Deployment_Model,Environment,Agent_Status,Authorization_Status,PAM_Onboarded,Auth_Framework_Integration,Human_Approval_Required,Approval_Gate_Defined,Stop_Condition_Defined,Activity_Log_Reference,Kill_Switch_Defined,External_Network_Access,Data_Classification_Authorized,Last_Security_Assessment,Next_Access_Review,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Last_Updated
AI-4000,ai-agent-chat-00,Coding Agent,Approved workflow 13,Finance,AppSec,Azure OpenAI,Private Cloud,Production,Disabled,Conditional,Exempted,Partial,Yes,Partial,Yes,Defined,No,Approved,Confidential,2026-07-16,2026-10-15,Compliant,Low,Platform Ops,PCI DSS,2026-07-28
AI-4001,ai-agent-secops-01,Security Agent,Approved workflow 13,Legal,AppSec,Anthropic,On-Premises,Sandbox,Active,Approved,Not Onboarded,Integrated,Yes,No,Partial,Missing,Yes,Restricted,Confidential,2026-06-20,2026-09-19,Compliant,Critical,IAM Team,HIPAA,2026-08-25
AI-4002,ai-agent-rag-02,Workflow Agent,Approved workflow 11,Marketing,Network Ops,OpenAI,Private Cloud,Production,Pilot,Approved,Pending,Integrated,No,Yes,Yes,Missing,Yes,Restricted,Internal,2026-03-18,2026-09-19,Compliant,Medium,IAM Team,PCI DSS,2026-08-23
AI-4003,ai-agent-secops-03,Coding Agent,Approved workflow 11,HR,DBA Team,Azure OpenAI,SaaS,Sandbox,Active,Expired,Onboarded,Not Integrated,Yes,Yes,No,Partial,Yes,Restricted,Internal,2026-05-29,2026-09-10,Compliant,Medium,Network Ops,NIST 800-53,2026-08-19
AI-4004,ai-agent-coding-04,Security Agent,Approved workflow 10,Engineering,DBA Team,Azure OpenAI,On-Premises,Development,Pending Approval,Approved,Onboarded,Not Integrated,Yes,Yes,No,Defined,No,Restricted,Internal,2026-05-24,2026-09-02,Compliant,High,Network Ops,NIST 800-53,2026-08-23
AI-4005,ai-agent-chat-05,Coding Agent,Approved workflow 13,Engineering,Network Ops,Internal,On-Premises,Development,Disabled,Approved,Not Onboarded,Integrated,No,Yes,Yes,Partial,Yes,Restricted,Restricted,2026-04-11,2026-09-12,Partially Compliant,Medium,IAM Team,ISO 27001,2026-08-11
AI-4006,ai-agent-chat-06,RAG Agent,Approved workflow 8,Engineering,AppSec,OpenAI,SaaS,Sandbox,Pending Approval,Approved,Not Onboarded,Exempted,Yes,Yes,Partial,Missing,Yes,Prohibited,Restricted,2026-05-26,2026-09-07,Compliant,Medium,AppSec,HIPAA,2026-08-07
AI-4007,ai-agent-coding-07,Workflow Agent,Approved workflow 13,Security,Platform Ops,OpenAI,SaaS,Pilot,Disabled,Approved,Not Onboarded,Integrated,Yes,Yes,Yes,Defined,Yes,Prohibited,Restricted,2026-03-18,2026-09-22,Exception Approved,Low,IAM Team,PCI DSS,2026-08-23
AI-4008,ai-agent-workflow-08,Security Agent,Approved workflow 13,HR,DevOps,Azure OpenAI,SaaS,Production,Active,Approved,Onboarded,Not Integrated,No,Yes,Partial,Partial,No,Disabled,Restricted,2026-03-01,2026-11-07,Compliant,High,AppSec,SOX,2026-08-08
AI-4009,ai-agent-chat-09,RAG Agent,Approved workflow 2,Legal,IAM Team,Anthropic,SaaS,Sandbox,Pending Approval,Pending,Not Onboarded,Not Integrated,Yes,No,No,Missing,No,Restricted,Public,2026-07-19,2026-08-28,Non-Compliant,Medium,DevOps,HIPAA,2026-08-14
AI-4010,ai-agent-rag-10,Workflow Agent,Approved workflow 3,HR,DevOps,Internal,On-Premises,Pilot,Active,Approved,Not Onboarded,Partial,Yes,Partial,Yes,Defined,Yes,Disabled,Internal,2026-08-16,2026-09-23,Compliant,High,Network Ops,SOX,2026-08-23
AI-4011,ai-agent-rag-11,Security Agent,Approved workflow 3,Finance,AppSec,Internal,Private Cloud,Development,Active,Approved,Exempted,Integrated,Yes,Yes,Yes,Defined,Yes,Restricted,Internal,2026-08-19,2026-11-12,Exception Approved,Low,Network Ops,ISO 27001,2026-08-01
AI-4012,ai-agent-coding-12,Chat Assistant,Approved workflow 8,Marketing,DBA Team,Anthropic,Private Cloud,Pilot,Active,Pending,Onboarded,Integrated,Yes,Yes,Partial,Missing,No,Disabled,Restricted,2026-04-22,2026-09-30,Compliant,High,AppSec,NIST 800-53,2026-08-15
AI-4013,ai-agent-secops-13,Autonomous Agent,Approved workflow 13,Operations,DevOps,Anthropic,Private Cloud,Pilot,Pilot,Approved,Not Onboarded,Integrated,No,No,Yes,Partial,Yes,Prohibited,Confidential,2026-07-09,2026-11-07,Non-Compliant,Low,IAM Team,NIST 800-53,2026-08-19
AI-4014,ai-agent-coding-14,RAG Agent,Approved workflow 7,Marketing,Platform Ops,OpenAI,Private Cloud,Development,Active,Expired,Not Onboarded,Integrated,Yes,Partial,Partial,Partial,No,Disabled,Public,2026-04-23,2026-11-07,Non-Compliant,Medium,IAM Team,HIPAA,2026-08-04
AI-4015,ai-agent-rag-15,RAG Agent,Approved workflow 7,Legal,Network Ops,OpenAI,SaaS,Sandbox,Pilot,Conditional,Onboarded,Integrated,Yes,Yes,Yes,Missing,Yes,Disabled,Restricted,2026-06-12,2026-09-09,Compliant,Low,DBA Team,SOX,2026-08-13
AI-4016,ai-agent-workflow-16,Security Agent,Approved workflow 4,Legal,SOC,Anthropic,On-Premises,Development,Pending Approval,Conditional,Onboarded,Integrated,Yes,Partial,Partial,Partial,Yes,Restricted,Public,2026-06-13,2026-10-01,Non-Compliant,Low,DBA Team,HIPAA,2026-08-25
AI-4017,ai-agent-chat-17,Security Agent,Approved workflow 5,Legal,AppSec,Azure OpenAI,Private Cloud,Development,Pilot,Approved,Onboarded,Integrated,Yes,No,Yes,Defined,Yes,Approved,Internal,2026-03-19,2026-09-11,Not Assessed,Medium,AppSec,PCI DSS,2026-08-07
AI-4018,ai-agent-chat-18,Chat Assistant,Approved workflow 12,Finance,DBA Team,Azure OpenAI,On-Premises,Sandbox,Pending Approval,Expired,Not Onboarded,Not Integrated,Yes,Yes,Yes,Defined,Yes,Approved,Internal,2026-06-13,2026-09-17,Exception Approved,High,Platform Ops,ISO 27001,2026-08-03
AI-4019,ai-agent-coding-19,Chat Assistant,Approved workflow 1,Marketing,IAM Team,Anthropic,SaaS,Development,Disabled,Approved,Onboarded,Integrated,Yes,No,Yes,Missing,No,Disabled,Restricted,2026-07-24,2026-10-01,Exception Approved,Critical,Network Ops,HIPAA,2026-08-26
AI-4020,ai-agent-secops-20,Autonomous Agent,Approved workflow 14,HR,Network Ops,OpenAI,On-Premises,Development,Active,Conditional,Onboarded,Integrated,Yes,Yes,Yes,Defined,Yes,Restricted,Restricted,2026-05-22,2026-10-04,Compliant,High,SOC,ISO 27001,2026-08-18
