Account_ID,Account_Name,Account_Type,Service_Application,Business_Owner,Technical_Owner,Environment,Account_Status,Interactive_Logon_Allowed,Privileged_Access_Flag,PAM_Onboarded,PAM_Safe,Password_Mgmt,Last_Rotation_Date,Next_Rotation_Due,Rotation_Status,Hardcoded_Secret_Status,Auth_Framework_Integration,Least_Privilege_Status,Inactivity_Days,Last_Access_Review,Next_Access_Review,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Last_Updated
SVC-2000,svc-db-000,Database,APP-105,Operations,IAM Team,Development,Enabled,No,False,Onboarded,Safe-Svc-2,Automatic,2026-08-04,2026-10-26,Compliant,Suspected,Partial,Compliant,197,2026-04-27,2027-02-21,Compliant,High,AppSec,ISO 27001,2026-08-12
SVC-2001,svc-db-001,Database,APP-188,Finance,Network Ops,DR,Disabled,No,True,Onboarded,Safe-Svc-5,Automatic,2026-08-26,2026-10-02,Compliant,None Known,Integrated,Compliant,92,2026-04-10,2027-01-04,Compliant,Low,DevOps,PCI DSS,2026-08-18
SVC-2002,svc-app-002,System,APP-119,Legal,DBA Team,QA,Enabled,No,False,Onboarded,Safe-Svc-1,Manual,2026-07-21,2026-09-10,Compliant,None Known,Not Integrated,Excessive,11,2026-07-31,2026-09-10,Exception Approved,High,DBA Team,NIST 800-53,2026-08-11
SVC-2003,svc-app-003,Application,APP-192,Security,Network Ops,Development,Enabled,No,False,Onboarded,Safe-Svc-6,Automatic,2026-08-12,2026-09-17,Compliant,None Known,Integrated,Compliant,56,2026-08-08,2026-12-26,Non-Compliant,Critical,SOC,PCI DSS,2026-08-20
SVC-2004,svc-batch-004,Application,APP-149,Engineering,Platform Ops,QA,Disabled,No,False,Exempted,N/A,Automatic,2026-08-10,2026-08-30,Overdue,None Known,Integrated,Non-Compliant,117,2026-05-11,2026-10-10,Partially Compliant,High,AppSec,ISO 27001,2026-08-21
SVC-2005,svc-api-005,Application,APP-173,HR,DBA Team,DR,Enabled,No,True,Not Onboarded,N/A,Exempted,2026-06-12,2026-09-27,Failed,None Known,Not Integrated,Excessive,63,2026-06-24,2026-11-19,Compliant,High,Network Ops,PCI DSS,2026-07-28
SVC-2006,svc-app-006,Integration,APP-105,Finance,SOC,Development,Enabled,No,True,Not Onboarded,N/A,Not Configured,2026-08-14,2026-09-25,Compliant,None Known,Not Integrated,Excessive,104,2026-07-02,2026-09-30,Compliant,High,IAM Team,NIST 800-53,2026-08-11
SVC-2007,svc-db-007,API,APP-158,Marketing,Network Ops,Development,Enabled,No,False,Not Onboarded,N/A,Not Configured,2026-07-06,2026-09-08,Failed,None Known,Integrated,Excessive,160,2026-08-08,2026-12-04,Exception Approved,High,IAM Team,SOX,2026-08-13
SVC-2008,svc-api-008,Database,APP-173,Marketing,Platform Ops,Production,Enabled,No,False,Not Onboarded,N/A,Manual,2026-06-01,2026-09-20,Failed,None Known,Integrated,Excessive,93,2026-05-25,2026-10-11,Non-Compliant,Medium,Network Ops,PCI DSS,2026-08-22
SVC-2009,svc-db-009,Database,APP-114,Legal,SOC,Development,Disabled,No,False,Exempted,N/A,Manual,2026-07-16,2026-09-19,Failed,None Known,Integrated,Compliant,95,2026-05-30,2026-12-21,Compliant,Medium,IAM Team,HIPAA,2026-08-04
SVC-2010,svc-api-010,Batch,APP-157,HR,AppSec,Production,Enabled,No,True,Onboarded,Safe-Svc-7,Not Configured,2026-07-21,2026-09-01,Compliant,None Known,Not Integrated,Compliant,52,2026-04-15,2027-02-04,Compliant,Medium,DevOps,ISO 27001,2026-07-28
SVC-2011,svc-int-011,Integration,APP-156,Legal,DevOps,Production,Enabled,Yes,False,Onboarded,Safe-Svc-4,Not Configured,2026-06-21,2026-10-08,Compliant,None Known,Not Integrated,Non-Compliant,124,2026-03-28,2027-02-14,Non-Compliant,Low,SOC,HIPAA,2026-08-17
SVC-2012,svc-int-012,Application,APP-133,Operations,SOC,UAT,Pending Retirement,No,True,Not Onboarded,N/A,Automatic,2026-06-29,2026-09-07,Overdue,None Known,Integrated,Compliant,44,2026-03-02,2027-02-14,Partially Compliant,High,IAM Team,NIST 800-53,2026-08-16
SVC-2013,svc-batch-013,Batch,APP-147,Operations,Platform Ops,Development,Disabled,No,False,Not Onboarded,N/A,Automatic,2026-06-30,2026-10-01,Exception,None Known,Integrated,Compliant,127,2026-07-20,2026-12-23,Exception Approved,High,DevOps,ISO 27001,2026-08-10
SVC-2014,svc-int-014,Integration,APP-137,Marketing,Network Ops,DR,Disabled,No,False,Onboarded,Safe-Svc-6,Manual,2026-06-26,2026-10-24,Compliant,Suspected,Integrated,Compliant,158,2026-07-01,2026-12-20,Compliant,High,Network Ops,PCI DSS,2026-08-08
SVC-2015,svc-int-015,Application,APP-102,Finance,Network Ops,QA,Enabled,No,False,Onboarded,Safe-Svc-7,Automatic,2026-07-17,2026-10-05,Overdue,Remediating,Partial,Compliant,37,2026-05-09,2026-11-30,Compliant,Critical,AppSec,SOX,2026-08-17
SVC-2016,svc-api-016,Service,APP-127,Legal,SOC,QA,Disabled,No,False,Exempted,N/A,Exempted,2026-07-03,2026-10-13,Failed,None Known,Integrated,Compliant,53,2026-06-10,2026-12-27,Not Assessed,Medium,AppSec,NIST 800-53,2026-07-28
SVC-2017,svc-batch-017,Service,APP-100,Security,DevOps,UAT,Enabled,No,False,Exempted,N/A,Manual,2026-08-09,2026-09-09,Compliant,None Known,Integrated,Compliant,77,2026-03-30,2026-11-13,Compliant,Medium,Platform Ops,NIST 800-53,2026-08-01
SVC-2018,svc-int-018,Batch,APP-181,Marketing,DevOps,QA,Enabled,No,True,Onboarded,Safe-Svc-3,Automatic,2026-05-30,2026-10-08,Compliant,None Known,Integrated,Exception,17,2026-03-26,2026-11-28,Non-Compliant,Medium,DBA Team,SOX,2026-08-06
SVC-2019,svc-app-019,Batch,APP-165,Legal,Network Ops,Production,Disabled,No,True,Not Onboarded,N/A,Automatic,2026-05-30,2026-09-05,Compliant,None Known,Integrated,Excessive,91,2026-08-14,2026-11-10,Compliant,Medium,IAM Team,ISO 27001,2026-08-20
SVC-2020,svc-db-020,System,APP-112,HR,DBA Team,DR,Enabled,No,False,Not Onboarded,N/A,Manual,2026-07-19,2026-09-14,Overdue,Suspected,Integrated,Excessive,36,2026-08-23,2026-10-02,Non-Compliant,Medium,SOC,HIPAA,2026-08-16
SVC-2021,svc-db-021,Service,APP-127,Operations,Network Ops,DR,Disabled,No,False,Exempted,N/A,Manual,2026-06-20,2026-10-21,Overdue,None Known,Not Integrated,Compliant,117,2026-08-07,2026-09-26,Partially Compliant,Low,SOC,SOX,2026-08-17
SVC-2022,svc-db-022,System,APP-156,HR,Network Ops,UAT,Enabled,No,False,Not Onboarded,N/A,Automatic,2026-08-10,2026-10-21,Overdue,Suspected,Integrated,Compliant,20,2026-05-10,2027-02-20,Partially Compliant,High,IAM Team,HIPAA,2026-08-02
SVC-2023,svc-db-023,Service,APP-104,Marketing,DevOps,Development,Enabled,No,False,Onboarded,Safe-Svc-1,Automatic,2026-06-02,2026-08-28,Overdue,Confirmed,Partial,Compliant,51,2026-07-10,2027-02-15,Compliant,Critical,DBA Team,SOX,2026-08-08
SVC-2024,svc-db-024,System,APP-164,Marketing,DevOps,Development,Enabled,No,True,Onboarded,Safe-Svc-1,Manual,2026-08-02,2026-09-15,Compliant,Suspected,Integrated,Excessive,54,2026-04-19,2026-12-27,Compliant,Medium,SOC,NIST 800-53,2026-08-21
SVC-2025,svc-batch-025,Integration,APP-127,HR,Platform Ops,QA,Enabled,No,True,Pending,N/A,Automatic,2026-08-09,2026-09-28,Overdue,Suspected,Integrated,Compliant,83,2026-04-22,2026-09-26,Compliant,Medium,DevOps,SOX,2026-08-05
SVC-2026,svc-batch-026,Application,APP-170,Security,AppSec,QA,Enabled,Yes,False,Exempted,N/A,Automatic,2026-06-01,2026-09-20,Compliant,Remediating,Integrated,Compliant,112,2026-04-15,2027-02-12,Non-Compliant,High,SOC,HIPAA,2026-08-04
SVC-2027,svc-app-027,API,APP-121,Finance,AppSec,DR,Enabled,No,False,Not Onboarded,N/A,Automatic,2026-07-03,2026-10-13,Compliant,Suspected,Not Integrated,Excessive,193,2026-03-15,2026-12-08,Compliant,Medium,SOC,HIPAA,2026-08-10
SVC-2028,svc-batch-028,Service,APP-115,Engineering,SOC,QA,Enabled,No,True,Onboarded,Safe-Svc-1,Not Configured,2026-06-24,2026-10-10,Compliant,None Known,Not Integrated,Compliant,77,2026-03-20,2027-02-03,Compliant,Critical,DBA Team,ISO 27001,2026-08-02
SVC-2029,svc-batch-029,Application,APP-137,Legal,SOC,QA,Enabled,No,False,Onboarded,Safe-Svc-1,Exempted,2026-08-22,2026-09-24,Failed,None Known,Integrated,Non-Compliant,113,2026-05-01,2026-09-06,Compliant,Medium,DBA Team,SOX,2026-07-29
SVC-2030,svc-batch-030,Integration,APP-117,Engineering,DevOps,QA,Enabled,Yes,False,Not Onboarded,N/A,Manual,2026-05-31,2026-10-01,Overdue,None Known,Partial,Compliant,100,2026-06-20,2027-01-01,Non-Compliant,Medium,DevOps,SOX,2026-08-02
SVC-2031,svc-int-031,Service,APP-103,HR,IAM Team,DR,Disabled,No,False,Exempted,N/A,Automatic,2026-06-07,2026-09-18,Compliant,None Known,Exempted,Compliant,14,2026-03-10,2026-10-29,Compliant,Medium,Network Ops,NIST 800-53,2026-07-28
SVC-2032,svc-int-032,Service,APP-143,Operations,IAM Team,Development,Enabled,No,False,Not Onboarded,N/A,Manual,2026-07-04,2026-09-14,Compliant,None Known,Integrated,Compliant,146,2026-05-19,2026-11-18,Non-Compliant,Low,IAM Team,PCI DSS,2026-08-16
