Asset_ID,Asset_Name,FQDN,IP_Address_v4,Operating_System,OS_Build,Environment,Business_Unit,Criticality,Patch_Compliance_Status,Last_Patch_Date,Endpoint_Protection_Status,Critical_Vulnerability_Count,High_Vulnerability_Count,PAM_Onboarded,Password_Mgmt,Local_Admin_Count,Shared_Admin_Account,Auth_Framework_Integration,Encryption_Status,Backup_Status,Network_Zone,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Record_Owner,Last_Updated
WIN-0100,WIN-RDS-UAT-00,win-server-000.corp.local,10.224.109.153,Windows Server 2022,14393.3146,UAT,Security,Medium,Exception,2026-08-23,Healthy,9,5,Onboarded,Manual,6,Controlled,Integrated,Enabled,Successful,Management,Exception Approved,Medium,Platform Ops,HIPAA,Platform Ops,2026-08-25
WIN-0101,WIN-DC-PROD-01,win-server-001.corp.local,10.87.99.168,Windows Server 2019,20348.3308,UAT,Engineering,High,Overdue,2026-08-22,Healthy,6,5,Onboarded,Automatic,2,Controlled,Integrated,Enabled,Successful,Management,Partially Compliant,Critical,AppSec,PCI DSS,Network Ops,2026-08-10
WIN-0102,WIN-DC-PROD-02,win-server-002.corp.local,10.125.168.246,Windows Server 2016,20348.3865,Production,Engineering,High,Overdue,2026-08-12,Healthy,12,14,Onboarded,Manual,8,Uncontrolled,Partial,Partial,Successful,DMZ,Not Assessed,Medium,SOC,NIST 800-53,Platform Ops,2026-08-26
WIN-0103,WIN-RDS-UAT-03,win-server-003.corp.local,10.67.51.132,Windows Server 2016,14393.4786,QA,Security,Critical,Compliant,2026-08-11,Not Installed,7,11,Onboarded,Automatic,6,Controlled,Integrated,Enabled,Failed,Restricted,Compliant,Medium,IAM Team,HIPAA,AppSec,2026-08-17
WIN-0104,WIN-FILE-PROD-04,win-server-004.corp.local,10.92.188.10,Windows Server 2016,14393.3811,DR,Operations,Critical,Compliant,2026-08-08,Healthy,6,8,Not Onboarded,Automatic,8,Uncontrolled,Integrated,Disabled,Failed,Management,Compliant,High,IAM Team,PCI DSS,Network Ops,2026-08-03
WIN-0105,WIN-APP-DR-05,win-server-005.corp.local,10.132.251.186,Windows Server 2019,20348.4899,UAT,Security,High,Compliant,2026-07-25,Unhealthy,11,2,Not Onboarded,Not Configured,7,Disabled,Not Integrated,Enabled,Overdue,DMZ,Non-Compliant,Critical,Network Ops,HIPAA,Platform Ops,2026-08-02
WIN-0106,WIN-WEB-UAT-06,win-server-006.corp.local,10.177.200.48,Windows Server 2022,14393.4375,Production,HR,High,Compliant,2026-07-21,Healthy,6,6,Exempted,Automatic,7,Uncontrolled,Integrated,Enabled,Failed,Restricted,Compliant,High,DevOps,SOX,Platform Ops,2026-08-24
WIN-0107,WIN-RDS-UAT-07,win-server-007.corp.local,10.156.212.118,Windows Server 2016,20348.4300,Development,Engineering,High,Compliant,2026-06-16,Healthy,5,10,Not Onboarded,Automatic,8,Controlled,Partial,Enabled,Successful,DMZ,Non-Compliant,High,IAM Team,ISO 27001,IAM Team,2026-08-06
WIN-0108,WIN-WEB-PROD-08,win-server-008.corp.local,10.54.192.253,Windows Server 2016,20348.3622,UAT,Marketing,High,Overdue,2026-08-23,Healthy,9,5,Onboarded,Manual,7,Controlled,Not Integrated,Disabled,Successful,Management,Not Assessed,Medium,Network Ops,PCI DSS,SOC,2026-08-07
WIN-0109,WIN-APP-PROD-09,win-server-009.corp.local,10.102.56.55,Windows Server 2019,14393.3592,DR,Marketing,Critical,Overdue,2026-07-06,Healthy,5,24,Exempted,Automatic,5,Controlled,Integrated,Enabled,Overdue,Restricted,Non-Compliant,Medium,Platform Ops,HIPAA,SOC,2026-08-02
WIN-0110,WIN-DC-PROD-10,win-server-010.corp.local,10.237.224.46,Windows Server 2022,20348.3006,Development,Marketing,High,Compliant,2026-08-04,Unhealthy,1,12,Onboarded,Manual,7,Disabled,Integrated,Enabled,Successful,DMZ,Non-Compliant,Medium,IAM Team,ISO 27001,Network Ops,2026-08-03
WIN-0111,WIN-APP-DR-11,win-server-011.corp.local,10.157.64.43,Windows Server 2016,14393.3966,Production,Engineering,Critical,Overdue,2026-06-04,Healthy,8,6,Onboarded,Not Configured,3,Controlled,Not Integrated,Enabled,Successful,DMZ,Compliant,High,IAM Team,PCI DSS,Network Ops,2026-08-12
WIN-0112,WIN-RDS-UAT-12,win-server-012.corp.local,10.114.254.62,Windows Server 2019,20348.4024,Production,Marketing,Medium,Compliant,2026-08-06,Healthy,11,2,Onboarded,Automatic,1,Uncontrolled,Integrated,Enabled,Successful,Management,Compliant,Medium,AppSec,ISO 27001,IAM Team,2026-08-04
WIN-0113,WIN-RDS-UAT-13,win-server-013.corp.local,10.183.7.113,Windows Server 2022,14393.3122,UAT,Marketing,High,Overdue,2026-08-21,Healthy,11,16,Not Onboarded,Manual,8,Controlled,Integrated,Enabled,Successful,Internal,Partially Compliant,Medium,DevOps,SOX,Platform Ops,2026-07-28
WIN-0114,WIN-DC-PROD-14,win-server-014.corp.local,10.68.25.85,Windows Server 2016,14393.3151,QA,Legal,High,Compliant,2026-07-24,Healthy,11,14,Onboarded,Automatic,8,Uncontrolled,Integrated,Enabled,Failed,DMZ,Non-Compliant,Critical,AppSec,ISO 27001,AppSec,2026-08-04
WIN-0115,WIN-RDS-PROD-15,win-server-015.corp.local,10.146.163.79,Windows Server 2022,14393.3900,UAT,Operations,Medium,Overdue,2026-08-08,Healthy,6,8,Onboarded,Manual,1,Disabled,Integrated,Enabled,Successful,Restricted,Partially Compliant,Medium,Network Ops,HIPAA,SOC,2026-08-07
WIN-0116,WIN-WEB-UAT-16,win-server-016.corp.local,10.40.151.219,Windows Server 2016,20348.4071,UAT,Security,Low,Compliant,2026-08-05,Not Installed,7,5,Pending,Automatic,7,Controlled,Exempted,Enabled,Successful,DMZ,Compliant,Medium,DevOps,NIST 800-53,DevOps,2026-08-20
WIN-0117,WIN-DC-UAT-17,win-server-017.corp.local,10.234.164.233,Windows Server 2019,14393.4732,Development,Operations,Medium,Compliant,2026-08-22,Healthy,1,10,Onboarded,Manual,5,Uncontrolled,Integrated,Disabled,Overdue,Internal,Compliant,Medium,Platform Ops,SOX,DBA Team,2026-08-03
WIN-0118,WIN-RDS-PROD-18,win-server-018.corp.local,10.59.177.184,Windows Server 2022,17763.3082,Development,Engineering,Medium,Compliant,2026-08-02,Unhealthy,1,4,Onboarded,Manual,1,Controlled,Integrated,Disabled,Successful,Internal,Non-Compliant,Low,AppSec,NIST 800-53,Platform Ops,2026-08-11
WIN-0119,WIN-APP-DR-19,win-server-019.corp.local,10.51.26.139,Windows Server 2016,17763.4225,QA,Engineering,Medium,Overdue,2026-08-12,Unhealthy,7,24,Onboarded,Manual,8,Disabled,Integrated,Enabled,Successful,DMZ,Compliant,Medium,AppSec,SOX,AppSec,2026-07-30
WIN-0120,WIN-WEB-DR-20,win-server-020.corp.local,10.174.144.129,Windows Server 2022,14393.3901,Production,Marketing,Low,Compliant,2026-07-17,Not Installed,8,15,Onboarded,Automatic,3,Controlled,Integrated,Enabled,Overdue,Management,Compliant,Medium,DBA Team,PCI DSS,Platform Ops,2026-08-02
WIN-0121,WIN-DB-PROD-21,win-server-021.corp.local,10.79.129.79,Windows Server 2022,14393.3966,Production,Legal,High,Overdue,2026-06-14,Unhealthy,5,5,Onboarded,Automatic,7,Uncontrolled,Partial,Enabled,Successful,Management,Non-Compliant,Low,DBA Team,SOX,Platform Ops,2026-07-28
WIN-0122,WIN-WEB-DR-22,win-server-022.corp.local,10.38.79.86,Windows Server 2016,20348.4698,UAT,Security,High,Compliant,2026-07-04,Healthy,6,1,Onboarded,Exempted,6,Uncontrolled,Integrated,Enabled,Successful,DMZ,Compliant,Medium,AppSec,SOX,IAM Team,2026-08-16
WIN-0123,WIN-DC-DR-23,win-server-023.corp.local,10.143.144.190,Windows Server 2019,17763.4264,Development,Security,Low,Compliant,2026-07-26,Healthy,11,15,Onboarded,Exempted,8,Disabled,Exempted,Disabled,Successful,Management,Compliant,Low,Network Ops,HIPAA,IAM Team,2026-08-23
WIN-0124,WIN-WEB-DR-24,win-server-024.corp.local,10.138.95.113,Windows Server 2022,17763.3966,DR,Legal,Critical,Exception,2026-07-05,Unhealthy,2,18,Onboarded,Automatic,4,Uncontrolled,Integrated,Enabled,Successful,Restricted,Non-Compliant,Low,DevOps,NIST 800-53,Platform Ops,2026-08-02
WIN-0125,WIN-RDS-UAT-25,win-server-025.corp.local,10.190.81.246,Windows Server 2022,20348.4530,DR,Operations,High,Compliant,2026-07-11,Healthy,10,22,Not Onboarded,Automatic,1,Controlled,Not Integrated,Enabled,Failed,Internal,Partially Compliant,Critical,Network Ops,SOX,IAM Team,2026-08-08
WIN-0126,WIN-APP-UAT-26,win-server-026.corp.local,10.224.205.84,Windows Server 2016,20348.3578,Development,Engineering,Medium,Overdue,2026-06-15,Healthy,8,24,Onboarded,Automatic,3,Uncontrolled,Partial,Enabled,Overdue,DMZ,Partially Compliant,Low,SOC,SOX,SOC,2026-08-12
WIN-0127,WIN-RDS-PROD-27,win-server-027.corp.local,10.167.85.19,Windows Server 2019,14393.4178,UAT,Security,High,Overdue,2026-07-02,Not Installed,6,18,Pending,Automatic,7,Controlled,Integrated,Enabled,Successful,DMZ,Non-Compliant,Low,Network Ops,HIPAA,DevOps,2026-08-05
WIN-0128,WIN-FILE-DR-28,win-server-028.corp.local,10.229.226.184,Windows Server 2016,17763.3386,DR,Operations,High,Compliant,2026-06-19,Healthy,0,24,Onboarded,Automatic,6,Disabled,Integrated,Enabled,Successful,DMZ,Compliant,High,AppSec,PCI DSS,Platform Ops,2026-08-02
WIN-0129,WIN-DB-DR-29,win-server-029.corp.local,10.32.214.243,Windows Server 2022,17763.3909,DR,Security,Critical,Compliant,2026-08-01,Healthy,6,18,Onboarded,Not Configured,2,Disabled,Integrated,Enabled,Successful,DMZ,Partially Compliant,High,SOC,ISO 27001,AppSec,2026-08-03
WIN-0130,WIN-DC-PROD-30,win-server-030.corp.local,10.54.253.24,Windows Server 2016,20348.3978,UAT,HR,Critical,Compliant,2026-08-26,Healthy,6,12,Exempted,Exempted,2,Controlled,Exempted,Disabled,Successful,Restricted,Compliant,Medium,DevOps,HIPAA,SOC,2026-08-26
WIN-0131,WIN-WEB-UAT-31,win-server-031.corp.local,10.166.230.83,Windows Server 2019,17763.4735,DR,Operations,Medium,Compliant,2026-08-07,Healthy,7,24,Exempted,Automatic,4,Disabled,Not Integrated,Enabled,Successful,DMZ,Compliant,High,Network Ops,PCI DSS,DevOps,2026-08-01
WIN-0132,WIN-DB-DR-32,win-server-032.corp.local,10.226.237.29,Windows Server 2019,17763.4018,DR,Engineering,High,Compliant,2026-07-24,Healthy,0,25,Pending,Automatic,1,Disabled,Integrated,Disabled,Overdue,Internal,Non-Compliant,Low,DevOps,ISO 27001,Platform Ops,2026-08-21
WIN-0133,WIN-WEB-PROD-33,win-server-033.corp.local,10.24.108.253,Windows Server 2019,17763.4983,QA,Security,Low,Failed,2026-06-19,Healthy,9,25,Onboarded,Manual,5,Controlled,Partial,Enabled,Successful,Restricted,Not Assessed,Medium,IAM Team,HIPAA,SOC,2026-08-03
WIN-0134,WIN-FILE-PROD-34,win-server-034.corp.local,10.33.57.132,Windows Server 2019,17763.3461,Production,Legal,Critical,Compliant,2026-06-09,Healthy,3,8,Pending,Automatic,5,Controlled,Exempted,Enabled,Successful,Restricted,Partially Compliant,High,SOC,SOX,DevOps,2026-08-22
WIN-0135,WIN-APP-UAT-35,win-server-035.corp.local,10.232.205.99,Windows Server 2016,17763.4626,DR,Operations,Critical,Overdue,2026-07-27,Healthy,5,0,Not Onboarded,Manual,8,Disabled,Integrated,Disabled,Overdue,Management,Compliant,High,Network Ops,SOX,Network Ops,2026-08-12
WIN-0136,WIN-WEB-UAT-36,win-server-036.corp.local,10.197.132.237,Windows Server 2022,20348.4827,DR,Engineering,High,Failed,2026-06-17,Healthy,1,21,Onboarded,Not Configured,5,Controlled,Integrated,Enabled,Overdue,DMZ,Compliant,Low,DBA Team,NIST 800-53,IAM Team,2026-08-09
WIN-0137,WIN-DB-DR-37,win-server-037.corp.local,10.79.116.112,Windows Server 2016,17763.4978,Development,Operations,High,Exception,2026-06-22,Healthy,10,7,Not Onboarded,Manual,4,Uncontrolled,Integrated,Enabled,Successful,Internal,Partially Compliant,Medium,Platform Ops,ISO 27001,Platform Ops,2026-08-15
WIN-0138,WIN-RDS-PROD-38,win-server-038.corp.local,10.163.163.220,Windows Server 2016,17763.4726,DR,HR,Low,Overdue,2026-08-01,Healthy,6,9,Onboarded,Automatic,7,Disabled,Integrated,Enabled,Overdue,Internal,Compliant,Medium,DevOps,SOX,Platform Ops,2026-07-28
WIN-0139,WIN-FILE-PROD-39,win-server-039.corp.local,10.16.194.106,Windows Server 2019,17763.3984,DR,Marketing,Low,Exception,2026-07-26,Healthy,2,20,Not Onboarded,Automatic,4,Controlled,Integrated,Enabled,Overdue,DMZ,Exception Approved,High,DevOps,ISO 27001,DevOps,2026-08-22
WIN-0140,WIN-DB-UAT-40,win-server-040.corp.local,10.71.195.84,Windows Server 2019,14393.3240,Development,Engineering,High,Overdue,2026-06-11,Healthy,10,14,Onboarded,Automatic,2,Controlled,Not Integrated,Enabled,Overdue,Restricted,Exception Approved,Low,IAM Team,HIPAA,DBA Team,2026-07-29
WIN-0141,WIN-RDS-DR-41,win-server-041.corp.local,10.110.150.44,Windows Server 2016,14393.4772,QA,Marketing,High,Compliant,2026-08-15,Stale,9,19,Onboarded,Not Configured,4,Disabled,Not Integrated,Disabled,Overdue,Management,Compliant,High,DBA Team,SOX,DBA Team,2026-08-03
WIN-0142,WIN-WEB-UAT-42,win-server-042.corp.local,10.131.85.108,Windows Server 2016,20348.3730,Production,Finance,Critical,Overdue,2026-07-26,Healthy,3,18,Not Onboarded,Automatic,5,Controlled,Not Integrated,Disabled,Successful,Management,Non-Compliant,Low,DevOps,HIPAA,IAM Team,2026-08-07
WIN-0143,WIN-RDS-PROD-43,win-server-043.corp.local,10.148.25.31,Windows Server 2019,20348.4188,Development,Security,Medium,Overdue,2026-08-21,Healthy,12,14,Onboarded,Not Configured,1,Disabled,Not Integrated,Enabled,Failed,Internal,Compliant,High,DevOps,SOX,IAM Team,2026-08-17
WIN-0144,WIN-APP-UAT-44,win-server-044.corp.local,10.117.218.229,Windows Server 2022,20348.4676,UAT,Engineering,Low,Compliant,2026-06-30,Unhealthy,5,14,Exempted,Manual,5,Uncontrolled,Integrated,Enabled,Failed,Restricted,Partially Compliant,Low,DBA Team,PCI DSS,DBA Team,2026-08-11
WIN-0145,WIN-WEB-DR-45,win-server-045.corp.local,10.158.138.190,Windows Server 2019,20348.4697,UAT,Finance,Low,Compliant,2026-07-06,Healthy,7,20,Pending,Automatic,7,Controlled,Partial,Enabled,Successful,Management,Exception Approved,Low,Platform Ops,SOX,IAM Team,2026-08-23
WIN-0146,WIN-WEB-UAT-46,win-server-046.corp.local,10.180.165.144,Windows Server 2022,14393.4102,DR,Security,Medium,Compliant,2026-08-15,Healthy,9,21,Onboarded,Automatic,5,Controlled,Integrated,Enabled,Successful,Management,Compliant,Low,DBA Team,SOX,Network Ops,2026-08-08
WIN-0147,WIN-WEB-PROD-47,win-server-047.corp.local,10.114.212.11,Windows Server 2019,14393.3317,UAT,Finance,High,Failed,2026-07-29,Healthy,3,14,Exempted,Manual,4,Controlled,Integrated,Partial,Failed,Management,Partially Compliant,Medium,Network Ops,ISO 27001,Platform Ops,2026-08-13
WIN-0148,WIN-FILE-UAT-48,win-server-048.corp.local,10.103.161.148,Windows Server 2022,14393.3535,UAT,Marketing,Medium,Compliant,2026-07-11,Not Installed,3,10,Onboarded,Manual,2,Disabled,Integrated,Disabled,Overdue,DMZ,Partially Compliant,Medium,IAM Team,ISO 27001,DevOps,2026-08-11
WIN-0149,WIN-APP-UAT-49,win-server-049.corp.local,10.59.185.90,Windows Server 2016,14393.4320,Development,Marketing,Low,Compliant,2026-06-14,Not Installed,7,19,Onboarded,Automatic,7,Controlled,Exempted,Enabled,Successful,Internal,Exception Approved,Medium,DevOps,PCI DSS,IAM Team,2026-08-05
