Account_ID,Account_Name,Linked_Standard_ID,Privilege_Tier,Privilege_Scope,Department,Account_Status,PAM_Onboarded,PAM_Safe,Password_Mgmt,Last_Credential_Rotation,Next_Rotation_Due,Rotation_Status,JIT_Enabled,Session_Recording,MFA_Status,Auth_Framework_Integration,Access_Review_Status,Last_Access_Review,Next_Access_Review,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Last_Updated
PADM-0500,adm-user500,USR-1013,Network Admin,Domain,Operations,Enabled,Onboarded,Safe-Server-3,Manual,2026-08-08,2026-10-20,Compliant,No,Enabled,Enforced,Integrated,Certified,2026-06-09,2026-11-22,Partially Compliant,Medium,DevOps,ISO 27001,2026-08-14
PADM-0501,adm-user501,USR-1178,Tier-2 App Admin,Network,Legal,Enabled,Onboarded,Safe-Cloud-4,Automatic,2026-05-31,2026-09-17,Exception,Yes,Disabled,Enforced,Partial,Pending,2026-07-01,2026-09-25,Exception Approved,Medium,DevOps,SOX,2026-08-02
PADM-0502,adm-user502,USR-1189,DB Admin,Server,Marketing,Disabled,Not Onboarded,Safe-Server-3,Automatic,2026-05-31,2026-09-01,Compliant,Yes,Enabled,Enforced,Integrated,Overdue,2026-08-10,2026-09-17,Non-Compliant,High,AppSec,HIPAA,2026-08-04
PADM-0503,adm-user503,USR-1010,Tier-1 Server Admin,Database,HR,Enabled,Exempted,Safe-DB-4,Not Configured,2026-06-17,2026-09-19,Compliant,No,Enabled,Bypassed,Integrated,Overdue,2026-08-06,2026-10-20,Non-Compliant,High,AppSec,PCI DSS,2026-07-29
PADM-0504,adm-user504,USR-1084,Tier-2 App Admin,Database,Engineering,Enabled,Onboarded,Safe-Cloud-5,Not Configured,2026-06-04,2026-08-28,Compliant,Yes,Enabled,Enforced,Partial,Certified,2026-08-21,2026-11-23,Exception Approved,High,DBA Team,NIST 800-53,2026-08-14
PADM-0505,adm-user505,USR-1185,Tier-2 App Admin,Domain,HR,Disabled,Onboarded,Safe-DB-5,Not Configured,2026-06-30,2026-09-28,Compliant,Partial,Enabled,Enforced,Exempted,Certified,2026-06-19,2026-11-04,Compliant,Critical,DevOps,PCI DSS,2026-07-30
PADM-0506,adm-user506,USR-1026,Tier-1 Server Admin,Application,Marketing,Disabled,Not Onboarded,Safe-Cloud-1,Manual,2026-08-07,2026-08-29,Compliant,Yes,Enabled,Enforced,Not Integrated,Overdue,2026-06-14,2026-09-26,Exception Approved,High,SOC,HIPAA,2026-08-13
PADM-0507,adm-user507,USR-1099,Network Admin,Domain,HR,Enabled,Onboarded,Safe-Domain-5,Automatic,2026-08-17,2026-09-19,Exception,Yes,Disabled,Enforced,Integrated,Overdue,2026-07-01,2026-10-15,Compliant,Medium,SOC,PCI DSS,2026-08-09
PADM-0508,adm-user508,USR-1191,Cloud Admin,Application,Engineering,Locked,Onboarded,Safe-Server-3,Manual,2026-06-05,2026-09-20,Exception,Yes,Disabled,Enforced,Integrated,Overdue,2026-07-07,2026-11-04,Non-Compliant,Critical,Platform Ops,SOX,2026-08-20
PADM-0509,adm-user509,USR-1165,DB Admin,Server,Operations,Enabled,Onboarded,Safe-DB-2,Automatic,2026-06-02,2026-10-18,Overdue,Yes,Disabled,Bypassed,Integrated,Overdue,2026-08-17,2026-10-04,Non-Compliant,High,Platform Ops,ISO 27001,2026-08-11
PADM-0510,adm-user510,USR-1091,Tier-1 Server Admin,Network,Legal,Enabled,Exempted,Safe-DB-5,Automatic,2026-08-02,2026-09-17,Compliant,Yes,Disabled,Enforced,Integrated,Overdue,2026-07-17,2026-10-21,Compliant,High,DBA Team,PCI DSS,2026-08-04
PADM-0511,adm-user511,USR-1111,Tier-2 App Admin,Database,Operations,Enabled,Not Onboarded,Safe-DB-4,Automatic,2026-07-12,2026-10-16,Compliant,No,Enabled,Enforced,Partial,Pending,2026-08-09,2026-11-04,Compliant,Medium,DevOps,NIST 800-53,2026-08-03
PADM-0512,adm-user512,USR-1004,DB Admin,Network,Finance,Disabled,Onboarded,Safe-Cloud-5,Automatic,2026-08-22,2026-10-02,Compliant,Partial,Enabled,Enforced,Integrated,Certified,2026-06-12,2026-10-04,Compliant,High,IAM Team,HIPAA,2026-08-15
PADM-0513,adm-user513,USR-1169,Tier-1 Server Admin,Application,Legal,Enabled,Onboarded,Safe-Server-4,Automatic,2026-06-15,2026-10-03,Overdue,Partial,Disabled,Enforced,Integrated,Certified,2026-06-25,2026-09-26,Compliant,High,IAM Team,PCI DSS,2026-08-10
PADM-0514,adm-user514,USR-1092,Cloud Admin,Cloud,Security,Disabled,Pending,Safe-Domain-3,Automatic,2026-06-21,2026-10-07,Failed,No,Enabled,Enforced,Integrated,Overdue,2026-07-11,2026-11-11,Non-Compliant,Medium,Network Ops,SOX,2026-08-14
PADM-0515,adm-user515,USR-1057,DB Admin,Cloud,Engineering,Disabled,Exempted,Safe-DB-4,Not Configured,2026-06-10,2026-08-28,Compliant,Yes,Enabled,Enforced,Not Integrated,Certified,2026-08-03,2026-09-17,Compliant,Medium,IAM Team,PCI DSS,2026-08-13
PADM-0516,adm-user516,USR-1184,Tier-0 Domain Admin,Cloud,Legal,Enabled,Pending,Safe-Server-5,Automatic,2026-07-05,2026-08-29,Compliant,Yes,Enabled,Enforced,Integrated,Pending,2026-08-08,2026-09-04,Compliant,Medium,Network Ops,HIPAA,2026-08-07
PADM-0517,adm-user517,USR-1163,Tier-0 Domain Admin,Network,Legal,Enabled,Exempted,Safe-DB-1,Automatic,2026-06-10,2026-09-27,Failed,Yes,Disabled,Enforced,Not Integrated,Pending,2026-08-03,2026-11-15,Non-Compliant,High,DevOps,SOX,2026-07-28
PADM-0518,adm-user518,USR-1151,Tier-0 Domain Admin,Server,Security,Enabled,Onboarded,Safe-Domain-1,Automatic,2026-06-23,2026-10-10,Compliant,Yes,Enabled,Enforced,Not Integrated,Certified,2026-06-19,2026-10-31,Partially Compliant,Critical,DevOps,PCI DSS,2026-07-29
PADM-0519,adm-user519,USR-1000,Network Admin,Network,Security,Enabled,Not Onboarded,Safe-DB-1,Manual,2026-07-03,2026-09-11,Exception,No,Disabled,Enforced,Not Integrated,Pending,2026-05-29,2026-11-09,Compliant,Critical,SOC,PCI DSS,2026-07-28
PADM-0520,adm-user520,USR-1072,DB Admin,Application,Security,Enabled,Pending,Safe-Domain-1,Manual,2026-08-11,2026-09-30,Compliant,No,Disabled,Enforced,Integrated,Certified,2026-06-04,2026-11-10,Compliant,Medium,SOC,ISO 27001,2026-08-15
PADM-0521,adm-user521,USR-1174,Cloud Admin,Server,Security,Enabled,Not Onboarded,Safe-Cloud-2,Automatic,2026-06-16,2026-09-27,Compliant,Yes,Enabled,Exception,Not Integrated,Pending,2026-06-03,2026-09-12,Partially Compliant,High,DevOps,PCI DSS,2026-08-23
PADM-0522,adm-user522,USR-1102,Tier-2 App Admin,Application,HR,Enabled,Onboarded,Safe-Domain-2,Automatic,2026-06-06,2026-08-28,Failed,No,Enabled,Enforced,Integrated,Certified,2026-07-10,2026-09-07,Non-Compliant,Medium,SOC,ISO 27001,2026-08-06
PADM-0523,adm-user523,USR-1182,DB Admin,Domain,Marketing,Disabled,Onboarded,Safe-Cloud-4,Automatic,2026-06-03,2026-10-26,Failed,Yes,Enabled,Enforced,Integrated,Certified,2026-08-05,2026-11-22,Compliant,High,IAM Team,PCI DSS,2026-08-24
PADM-0524,adm-user524,USR-1199,Cloud Admin,Database,Legal,Enabled,Exempted,Safe-Server-5,Automatic,2026-08-18,2026-10-25,Compliant,Yes,Disabled,Bypassed,Integrated,Pending,2026-07-22,2026-09-25,Non-Compliant,Critical,SOC,ISO 27001,2026-08-26
PADM-0525,adm-user525,USR-1104,DB Admin,Domain,HR,Enabled,Onboarded,Safe-DB-3,Exempted,2026-06-22,2026-09-13,Failed,No,Enabled,Enforced,Exempted,Overdue,2026-07-26,2026-10-10,Not Assessed,High,SOC,ISO 27001,2026-07-30
PADM-0526,adm-user526,USR-1029,Tier-2 App Admin,Domain,Security,Enabled,Onboarded,Safe-Server-2,Not Configured,2026-07-05,2026-09-19,Compliant,Yes,Disabled,Enforced,Integrated,Overdue,2026-07-14,2026-09-06,Non-Compliant,Critical,AppSec,SOX,2026-08-20
PADM-0527,adm-user527,USR-1068,Tier-1 Server Admin,Network,Legal,Locked,Pending,Safe-Server-4,Manual,2026-07-27,2026-10-14,Compliant,Yes,Enabled,Exception,Partial,Certified,2026-08-13,2026-09-12,Exception Approved,Medium,DevOps,HIPAA,2026-08-07
PADM-0528,adm-user528,USR-1138,Tier-0 Domain Admin,Cloud,Engineering,Enabled,Onboarded,Safe-Cloud-5,Not Configured,2026-06-25,2026-09-08,Exception,Partial,Enabled,Enforced,Integrated,Certified,2026-07-03,2026-10-28,Exception Approved,Critical,AppSec,HIPAA,2026-07-30
