Asset_ID,Asset_Name,FQDN,IP_Address_v4,OS_Distribution,Kernel_Version,Environment,Business_Unit,Criticality,Patch_Compliance_Status,Last_Patch_Date,Root_Login_Status,SSH_Hardening_Status,Critical_Vulnerability_Count,High_Vulnerability_Count,PAM_Onboarded,Password_Mgmt,Auth_Framework_Integration,Audit_Logging_Status,Disk_Encryption_Status,Backup_Status,Network_Zone,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Record_Owner,Last_Updated
LNX-0200,LNX-DB-PROD-00,lnx-server-000.corp.local,10.254.17.42,RHEL 8,6.17.50-generic,Production,Operations,High,Exception,2026-06-01,Disabled,Compliant,14,25,Not Onboarded,Not Configured,Not Integrated,Partial,Disabled,Overdue,Restricted,Non-Compliant,Medium,DBA Team,SOX,DevOps,2026-08-05
LNX-0201,LNX-DB-UAT-01,lnx-server-001.corp.local,10.175.214.184,Amazon Linux 2,6.19.49-generic,DR,Operations,Medium,Compliant,2026-07-23,Disabled,Compliant,15,23,Onboarded,Exempted,Integrated,Enabled,Disabled,Successful,DMZ,Non-Compliant,Low,Platform Ops,PCI DSS,SOC,2026-07-29
LNX-0202,LNX-APP-UAT-02,lnx-server-002.corp.local,10.139.130.93,Ubuntu 24.04,6.16.36-generic,UAT,Engineering,Critical,Compliant,2026-06-26,Conditional,Non-Compliant,10,29,Onboarded,Not Configured,Integrated,Disabled,Enabled,Successful,Internal,Compliant,Medium,AppSec,PCI DSS,SOC,2026-07-29
LNX-0203,LNX-K8S-UAT-03,lnx-server-003.corp.local,10.55.104.111,RHEL 9,6.13.39-generic,DR,Engineering,Critical,Compliant,2026-07-09,Conditional,Compliant,2,25,Exempted,Manual,Integrated,Enabled,Partial,Overdue,DMZ,Not Assessed,Critical,Platform Ops,NIST 800-53,Platform Ops,2026-08-17
LNX-0204,LNX-WEB-UAT-04,lnx-server-004.corp.local,10.176.236.212,SUSE 15,6.19.5-generic,Production,Operations,Low,Compliant,2026-08-22,Conditional,Compliant,1,19,Exempted,Automatic,Partial,Disabled,Partial,Failed,Management,Compliant,Medium,Network Ops,ISO 27001,IAM Team,2026-07-31
LNX-0205,LNX-DB-PROD-05,lnx-server-005.corp.local,10.119.156.219,Ubuntu 22.04,5.18.6-generic,QA,HR,High,Compliant,2026-07-07,Conditional,Non-Compliant,15,25,Not Onboarded,Automatic,Exempted,Enabled,Disabled,Failed,Management,Partially Compliant,High,DBA Team,SOX,DevOps,2026-08-16
LNX-0206,LNX-K8S-PROD-06,lnx-server-006.corp.local,10.181.40.10,RHEL 8,5.19.7-generic,DR,Finance,Low,Compliant,2026-08-17,Disabled,Compliant,10,18,Onboarded,Automatic,Integrated,Enabled,Partial,Successful,Restricted,Exception Approved,High,SOC,NIST 800-53,AppSec,2026-08-21
LNX-0207,LNX-WEB-PROD-07,lnx-server-007.corp.local,10.13.9.216,Ubuntu 22.04,6.12.31-generic,QA,Legal,Low,Overdue,2026-07-16,Disabled,Non-Compliant,13,21,Onboarded,Automatic,Partial,Enabled,Disabled,Successful,DMZ,Not Assessed,Medium,SOC,SOX,Platform Ops,2026-08-25
LNX-0208,LNX-DB-UAT-08,lnx-server-008.corp.local,10.155.127.246,Ubuntu 22.04,5.12.26-generic,Production,Marketing,Critical,Compliant,2026-07-14,Enabled,Compliant,0,3,Pending,Automatic,Partial,Enabled,Enabled,Successful,Restricted,Non-Compliant,Low,Network Ops,ISO 27001,Network Ops,2026-08-20
LNX-0209,LNX-APP-DR-09,lnx-server-009.corp.local,10.247.185.152,Amazon Linux 2,6.18.48-generic,QA,Finance,High,Compliant,2026-06-12,Enabled,Non-Compliant,15,26,Onboarded,Not Configured,Partial,Partial,Disabled,Successful,Restricted,Partially Compliant,High,AppSec,SOX,DevOps,2026-07-30
LNX-0210,LNX-DB-UAT-10,lnx-server-010.corp.local,10.232.149.66,Ubuntu 24.04,6.10.33-generic,DR,Finance,High,Overdue,2026-07-27,Disabled,Compliant,2,25,Onboarded,Not Configured,Integrated,Partial,Partial,Successful,Restricted,Partially Compliant,Medium,SOC,ISO 27001,Platform Ops,2026-08-09
LNX-0211,LNX-WEB-PROD-11,lnx-server-011.corp.local,10.219.61.237,Ubuntu 24.04,6.12.34-generic,DR,Finance,Medium,Compliant,2026-06-05,Disabled,Compliant,3,4,Not Onboarded,Exempted,Not Integrated,Enabled,Enabled,Successful,DMZ,Exception Approved,High,Platform Ops,SOX,IAM Team,2026-08-02
LNX-0212,LNX-WEB-UAT-12,lnx-server-012.corp.local,10.178.141.164,RHEL 8,5.12.7-generic,Production,Operations,Critical,Overdue,2026-07-23,Conditional,Compliant,14,10,Exempted,Automatic,Not Integrated,Disabled,Enabled,Successful,Restricted,Partially Compliant,Medium,IAM Team,SOX,Platform Ops,2026-08-14
LNX-0213,LNX-MON-DR-13,lnx-server-013.corp.local,10.186.5.234,Amazon Linux 2,5.11.10-generic,DR,Engineering,Critical,Overdue,2026-06-19,Disabled,Partial,11,0,Pending,Automatic,Integrated,Disabled,Enabled,Successful,Management,Compliant,High,DevOps,HIPAA,DBA Team,2026-08-08
LNX-0214,LNX-APP-UAT-14,lnx-server-014.corp.local,10.59.214.169,Ubuntu 24.04,6.16.20-generic,UAT,Operations,Low,Compliant,2026-08-02,Disabled,Compliant,11,20,Not Onboarded,Automatic,Not Integrated,Enabled,Enabled,Successful,DMZ,Partially Compliant,Medium,Network Ops,NIST 800-53,Network Ops,2026-08-22
LNX-0215,LNX-MON-UAT-15,lnx-server-015.corp.local,10.186.195.88,RHEL 8,5.15.15-generic,UAT,HR,Medium,Compliant,2026-08-13,Disabled,Compliant,4,22,Onboarded,Automatic,Integrated,Enabled,Enabled,Successful,Internal,Not Assessed,Medium,SOC,SOX,DevOps,2026-08-17
LNX-0216,LNX-APP-DR-16,lnx-server-016.corp.local,10.84.48.183,RHEL 8,5.18.38-generic,Development,Marketing,Critical,Compliant,2026-07-24,Enabled,Compliant,3,5,Onboarded,Manual,Integrated,Enabled,Enabled,Successful,Internal,Partially Compliant,Medium,Network Ops,ISO 27001,AppSec,2026-07-28
LNX-0217,LNX-WEB-PROD-17,lnx-server-017.corp.local,10.230.104.193,RHEL 8,6.16.5-generic,UAT,Engineering,Medium,Compliant,2026-08-14,Conditional,Non-Compliant,3,28,Not Onboarded,Automatic,Integrated,Enabled,Enabled,Successful,DMZ,Compliant,High,DevOps,ISO 27001,DevOps,2026-07-30
LNX-0218,LNX-APP-DR-18,lnx-server-018.corp.local,10.56.187.182,RHEL 9,5.18.15-generic,QA,Finance,Medium,Failed,2026-06-14,Enabled,Non-Compliant,6,15,Onboarded,Manual,Integrated,Enabled,Disabled,Successful,Restricted,Compliant,Medium,Network Ops,HIPAA,Network Ops,2026-08-17
LNX-0219,LNX-MON-PROD-19,lnx-server-019.corp.local,10.181.108.66,SUSE 15,6.10.7-generic,QA,HR,Critical,Compliant,2026-08-10,Disabled,Non-Compliant,3,30,Onboarded,Manual,Integrated,Enabled,Partial,Failed,Internal,Non-Compliant,High,Platform Ops,SOX,IAM Team,2026-08-08
LNX-0220,LNX-DB-UAT-20,lnx-server-020.corp.local,10.29.213.179,RHEL 8,6.11.21-generic,DR,Security,Critical,Overdue,2026-08-11,Conditional,Compliant,13,12,Onboarded,Manual,Not Integrated,Enabled,Enabled,Successful,DMZ,Compliant,High,DevOps,PCI DSS,SOC,2026-08-11
LNX-0221,LNX-K8S-PROD-21,lnx-server-021.corp.local,10.65.1.111,Ubuntu 24.04,5.10.50-generic,Production,Legal,High,Compliant,2026-07-05,Disabled,Compliant,9,8,Exempted,Automatic,Not Integrated,Enabled,Disabled,Successful,Management,Compliant,Medium,SOC,PCI DSS,DevOps,2026-07-30
LNX-0222,LNX-K8S-DR-22,lnx-server-022.corp.local,10.70.42.123,RHEL 9,6.12.1-generic,DR,Legal,High,Compliant,2026-06-17,Disabled,Partial,3,8,Onboarded,Manual,Integrated,Disabled,Enabled,Successful,Restricted,Partially Compliant,Critical,Network Ops,NIST 800-53,Platform Ops,2026-07-29
LNX-0223,LNX-DB-UAT-23,lnx-server-023.corp.local,10.239.143.220,Amazon Linux 2,5.17.33-generic,Production,Operations,Low,Compliant,2026-05-30,Enabled,Compliant,10,0,Onboarded,Automatic,Integrated,Disabled,Disabled,Successful,Restricted,Non-Compliant,Medium,DevOps,ISO 27001,Network Ops,2026-08-08
LNX-0224,LNX-K8S-DR-24,lnx-server-024.corp.local,10.160.51.228,RHEL 9,6.10.21-generic,UAT,Security,Medium,Compliant,2026-06-24,Disabled,Partial,0,22,Onboarded,Automatic,Integrated,Enabled,Enabled,Successful,Management,Compliant,Low,IAM Team,NIST 800-53,DevOps,2026-08-09
